"Title","Description","Task"
"Set and Exhibit Designers","Design special exhibits and sets for film, video, television, and theater productions. May study scripts, confer with directors, and conduct research to determine appropriate architectural styles.","Develop set designs, based on evaluation of scripts, budgets, research information, and available locations.; Prepare rough drafts and scale working drawings of sets, including floor plans, scenery, and properties to be constructed.; Prepare preliminary renderings of proposed exhibits, including detailed construction, layout, and material specifications, and diagrams relating to aspects such as special effects or lighting.; Read scripts to determine location, set, and design requirements.; Submit plans for approval, and adapt plans to serve intended purposes, or to conform to budget or fabrication restrictions.; Attend rehearsals and production meetings to obtain and share information related to sets.; Confer with clients and staff to gather information about exhibit space, proposed themes and content, timelines, budgets, materials, or promotion requirements.; Research architectural and stylistic elements appropriate to the time period to be depicted, consulting experts for information, as necessary.; Observe sets during rehearsals in order to ensure that set elements do not interfere with performance aspects such as cast movement and camera angles.; Collaborate with those in charge of lighting and sound so that those production aspects can be coordinated with set designs or exhibit layouts.; Select set props, such as furniture, pictures, lamps, and rugs.; Design and build scale models of set designs, or miniature sets used in filming backgrounds or special effects.; Examine objects to be included in exhibits to plan where and how to display them.; Assign staff to complete design ideas and prepare sketches, illustrations, and detailed drawings of sets, or graphics and animation.; Inspect installed exhibits for conformance to specifications and satisfactory operation of special-effects components.; Estimate set- or exhibit-related costs, including materials, construction, and rental of props or locations.; Plan for location-specific issues, such as space limitations, traffic flow patterns, and safety concerns.; Acquire, or arrange for acquisition of, specimens or graphics required to complete exhibits.; Design and produce displays and materials that can be used to decorate windows, interior displays, or event locations, such as streets and fairgrounds."
"Sewers, Hand","Sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items. Includes weavers and stitchers.","Select thread, twine, cord, or yarn to be used, and thread needles.; Measure and align parts, fasteners, or trimmings, following seams, edges, or markings on parts.; Trim excess threads or edges of parts, using scissors or knives.; Sew, join, reinforce, or finish parts of articles, such as garments, books, mattresses, toys, and wigs, using needles and thread or other materials.; Use different sewing techniques such as felling, tacking, basting, embroidery, and fagoting."
"Sewing Machine Operators","Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products.","Monitor machine operation to detect problems such as defective stitching, breaks in thread, or machine malfunctions.; Place spools of thread, cord, or other materials on spindles, insert bobbins, and thread ends through machine guides and components.; Position items under needles, using marks on machines, clamps, templates, or cloth as guides.; Guide garments or garment parts under machine needles and presser feet to sew parts together.; Remove holding devices and finished items from machines.; Match cloth pieces in correct sequences prior to sewing them, and verify that dye lots and patterns match.; Fold or stretch edges or lengths of items while sewing to facilitate forming specified sections.; Cut excess material or thread from finished products.; Select supplies such as fasteners and thread, according to job requirements.; Examine and measure finished articles to verify conformance to standards, using rulers.; Start and operate or tend machines, such as single or double needle serging and flat-bed felling machines, to automatically join, reinforce, or decorate material or articles.; Record quantities of materials processed.; Turn knobs, screws, and dials to adjust settings of machines, according to garment styles and equipment performance.; Attach tape, trim, appliques, or elastic to specified garments or garment parts, according to item specifications.; Repair or alter items by adding replacement parts or missing stitches.; Perform equipment maintenance tasks such as replacing needles, sanding rough areas of needles, or cleaning and oiling sewing machines.; Mount attachments, such as needles, cutting blades, or pattern plates, and adjust machine guides according to specifications."
"Shampooers","Shampoo and rinse customers' hair.","Massage, shampoo, and condition patron's hair and scalp to clean them and remove excess oil.; Advise patrons with chronic or potentially contagious scalp conditions to seek medical treatment.; Treat scalp conditions and hair loss, using specialized lotions, shampoos, or equipment such as infrared lamps or vibrating equipment."
"Sheet Metal Workers","Fabricate, assemble, install, and repair sheet metal products and equipment, such as ducts, control boxes, drainpipes, and furnace casings. Work may involve any of the following: setting up and operating fabricating machines to cut, bend, and straighten sheet metal; shaping metal over anvils, blocks, or forms using hammer; operating soldering and welding equipment to join sheet metal parts; or inspecting, assembling, and smoothing seams and joints of burred surfaces. Includes sheet metal duct installers who install prefabricated sheet metal ducts used for heating, air conditioning, or other purposes.","Maintain equipment, making repairs or modifications when necessary.; Fabricate ducts for high efficiency heating, ventilating, and air conditioning (HVAC) systems to maximize efficiency of systems.; Fasten seams or joints together with welds, bolts, cement, rivets, solder, caulks, metal drive clips, or bonds to assemble components into products or to repair sheet metal items.; Transport prefabricated parts to construction sites for assembly and installation.; Install assemblies, such as flashing, pipes, tubes, heating and air conditioning ducts, furnace casings, rain gutters, or downspouts in supportive frameworks.; Hire, train, or supervise new employees or apprentices.; Lay out, measure, and mark dimensions and reference lines on material, such as roofing panels, using calculators, scribes, dividers, squares, or rulers.; Fabricate or alter parts at construction sites, using shears, hammers, punches, or drills.; Determine project requirements, such as scope, assembly sequences, or required methods or materials, using blueprints, drawings, or written or verbal instructions.; Maneuver completed roofing units into position for installation.; Select gauges or types of sheet metal or nonmetallic material, according to product specifications.; Shape metal material over anvils, blocks, or other forms, using hand tools.; Trim, file, grind, deburr, buff, or smooth surfaces, seams, or joints of assembled parts, using hand tools or portable power tools."
"Ship Engineers","Supervise and coordinate activities of crew engaged in operating and maintaining engines, boilers, deck machinery, and electrical, sanitary, and refrigeration equipment aboard ship.","Monitor engine, machinery, or equipment indicators when vessels are underway, and report abnormalities to appropriate shipboard staff.; Monitor the availability, use, or condition of lifesaving equipment or pollution preventatives to ensure that international regulations are followed.; Monitor and test operations of engines or other equipment so that malfunctions and their causes can be identified.; Start engines to propel ships, and regulate engines and power transmissions to control speeds of ships, according to directions from captains or bridge computers.; Perform or participate in emergency drills, as required.; Perform general marine vessel maintenance or repair work, such as repairing leaks, finishing interiors, refueling, or maintaining decks.; Maintain or repair engines, electric motors, pumps, winches, or other mechanical or electrical equipment, or assist other crew members with maintenance or repair duties.; Maintain complete records of engineering department activities, including machine operations.; Operate or maintain off-loading liquid pumps or valves.; Maintain electrical power, heating, ventilation, refrigeration, water, or sewerage systems.; Install engine controls, propeller shafts, or propellers.; Clean engine parts and keep engine rooms clean.; Record orders for changes in ship speed or direction, and note gauge readings or test data, such as revolutions per minute or voltage output, in engineering logs or bellbooks.; Order and receive engine room stores, such as oil or spare parts, maintain inventories, and record usage of supplies.; Act as a liaison between a ship's captain and shore personnel to ensure that schedules and budgets are maintained and that the ship is operated safely and efficiently.; Supervise marine engine technicians engaged in the maintenance or repair of mechanical or electrical marine vessels, and inspect their work to ensure that it is performed properly."
"Shipping, Receiving, and Inventory Clerks","Verify and maintain records on incoming and outgoing shipments involving inventory. Duties include verifying and recording incoming merchandise or material and arranging for the transportation of products. May prepare items for shipment.","Examine shipment contents and compare with records, such as manifests, invoices, or orders, to verify accuracy.; Requisition and store shipping materials and supplies to maintain inventory of stock.; Prepare documents, such as work orders, bills of lading, or shipping orders, to route materials.; Pack, seal, label, or affix postage to prepare materials for shipping, using hand tools, power tools, or postage meter.; Record shipment data, such as weight, charges, space availability, damages, or discrepancies, for reporting, accounting, or recordkeeping purposes.; Confer or correspond with establishment representatives to rectify problems, such as damages, shortages, or nonconformance to specifications.; Deliver or route materials to departments using handtruck, conveyor, or sorting bins.; Contact carrier representatives to make arrangements or to issue instructions for shipping and delivery of materials.; Determine shipping methods, routes, or rates for materials to be shipped.; Compute amounts, such as space available, shipping, storage, or demurrage charges, using computer or price list."
"Shoe and Leather Workers and Repairers","Construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles. May use hand tools.","Dye, soak, polish, paint, stamp, stitch, stain, buff, or engrave leather or other materials to obtain desired effects, decorations, or shapes.; Cut out parts, following patterns or outlines, using knives, shears, scissors, or machine presses.; Construct, decorate, or repair leather products according to specifications, using sewing machines, needles and thread, leather lacing, glue, clamps, hand tools, or rivets.; Repair and recondition leather products such as trunks, luggage, shoes, saddles, belts, purses, and baseball gloves.; Align and stitch or glue materials such as fabric, fleece, leather, or wood, to join parts.; Inspect articles for defects, and remove damaged or worn parts, using hand tools.; Drill or punch holes and insert or attach metal rings, handles, and fastening hardware, such as buckles."
"Shoe Machine Operators and Tenders","Operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts.","Inspect finished products to ensure that shoes have been completed according to specifications.; Align parts to be stitched, following seams, edges, or markings, before positioning them under needles.; Operate or tend machines to join, decorate, reinforce, or finish shoes and shoe parts.; Remove and examine shoes, shoe parts, and designs to verify conformance to specifications such as proper embedding of stitches in channels.; Switch on machines, lower pressure feet or rollers to secure parts, and start machine stitching, using hand, foot, or knee controls.; Draw thread through machine guide slots, needles, and presser feet in preparation for stitching, or load rolls of wire through machine axles.; Study work orders or shoe part tags to obtain information about workloads, specifications, and the types of materials to be used.; Perform routine equipment maintenance such as cleaning and lubricating machines or replacing broken needles.; Test machinery to ensure proper functioning before beginning production.; Select and place spools of thread or pre-wound bobbins into shuttles, or onto spindles or loupers of stitching machines.; Cut excess thread or material from shoe parts, using scissors or knives.; Turn knobs to adjust stitch length and thread tension."
"Signal and Track Switch Repairers","Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.","Inspect and test operation, mechanical parts, and circuitry of gate crossings, signals, and signal equipment such as interlocks and hotbox detectors.; Inspect electrical units of railroad grade crossing gates and repair loose bolts and defective electrical connections and parts.; Test and repair track circuits.; Drive motor vehicles to job sites.; Install, inspect, maintain, and repair various railroad service equipment on the road or in the shop, including railroad signal systems.; Tighten loose bolts, using wrenches, and test circuits and connections by opening and closing gates.; Inspect switch-controlling mechanisms on trolley wires and in track beds, using hand tools and test equipment.; Replace defective wiring, broken lenses, or burned-out light bulbs.; Inspect, maintain, and replace batteries as needed.; Record and report information about mileage or track inspected, repairs performed, and equipment requiring replacement.; Lubricate moving parts on gate-crossing mechanisms and swinging signals.; Clean lenses of lamps with cloths and solvents."
"Skincare Specialists","Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.","Sterilize equipment and clean work areas.; Examine clients' skin, using magnifying lamps or visors when necessary, to evaluate skin condition and appearance.; Cleanse clients' skin with water, creams, or lotions.; Demonstrate how to clean and care for skin properly and recommend skin-care regimens.; Select and apply cosmetic products, such as creams, lotions, and tonics.; Perform simple extractions to remove blackheads.; Stay abreast of latest industry trends, products, research, and treatments.; Determine which products or colors will improve clients' skin quality and appearance.; Treat the facial skin to maintain and improve its appearance, using specialized techniques and products, such as peels and masks.; Refer clients to medical personnel for treatment of serious skin problems.; Remove body and facial hair by applying wax.; Provide facial and body massages.; Keep records of client needs and preferences and the services provided.; Apply chemical peels to reduce fine lines and age spots.; Advise clients about colors and types of makeup and instruct them in makeup application techniques."
"Social and Community Service Managers","Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.","Establish and oversee administrative procedures to meet objectives set by boards of directors or senior management.; Direct activities of professional and technical staff members and volunteers.; Evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively.; Participate in the determination of organizational policies regarding such issues as participant eligibility, program requirements, and program benefits.; Prepare and maintain records and reports, such as budgets, personnel records, or training manuals.; Provide direct service and support to individuals or clients, such as handling a referral for child advocacy issues, conducting a needs evaluation, or resolving complaints.; Establish and maintain relationships with other agencies and organizations in community to meet community needs and to ensure that services are not duplicated.; Recruit, interview, and hire or sign up volunteers and staff.; Research and analyze member or community needs to determine program directions and goals.; Implement and evaluate staff, volunteer, or community training programs.; Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies.; Speak to community groups to explain and interpret agency purposes, programs, and policies."
"Social and Human Service Assistants","Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.","Assess clients' cognitive abilities and physical and emotional needs to determine appropriate interventions.; Develop and implement behavioral management and care plans for clients.; Keep records or prepare reports for owner or management concerning visits with clients.; Visit individuals in homes or attend group meetings to provide information on agency services, requirements, or procedures.; Submit reports and review reports or problems with superior.; Interview individuals or family members to compile information on social, educational, criminal, institutional, or drug history.; Provide information or refer individuals to public or private agencies or community services for assistance.; Advise clients regarding food stamps, child care, food, money management, sanitation, or housekeeping."
"Social Science Research Assistants","Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.","Design and create special programs for tasks such as statistical analysis and data entry and cleaning.; Provide assistance with the preparation of project-related reports, manuscripts, and presentations.; Prepare tables, graphs, fact sheets, and written reports summarizing research results.; Perform descriptive and multivariate statistical analyses of data, using computer software.; Verify the accuracy and validity of data entered in databases, correcting any errors.; Develop and implement research quality control procedures.; Prepare, manipulate, and manage extensive databases.; Perform data entry and other clerical work as required for project completion.; Conduct internet-based and library research.; Present research findings to groups of people."
"Social Work Teachers, Postsecondary","Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Initiate, facilitate, and moderate classroom discussions.; Prepare course materials, such as syllabi, homework assignments, or handouts.; Compile, administer, and grade examinations, or assign this work to others.; Supervise students' laboratory and field work.; Prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior, child and adolescent mental health, or social intervention evaluation.; Supervise undergraduate or graduate teaching, internship, and research work.; Evaluate and grade students' class work, assignments, and papers.; Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.; Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.; Collaborate with colleagues and community agencies to address teaching and research issues.; Advise students on academic and vocational curricula and on career issues.; Maintain student attendance records, grades, and other required records.; Maintain regularly scheduled office hours to advise and assist students.; Participate in student recruitment, registration, and placement activities.; Compile bibliographies of specialized materials for outside reading assignments.; Select and obtain materials and supplies, such as textbooks or laboratory equipment.; Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.; Mentor new faculty members.; Participate in campus and community events.; Act as advisers to student organizations."
"Sociologists","Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members.","Analyze and interpret data to increase the understanding of human social behavior.; Prepare publications and reports containing research findings.; Develop, implement, and evaluate methods of data collection, such as questionnaires or interviews.; Collect data about the attitudes, values, and behaviors of people in groups, using observation, interviews, and review of documents.; Teach sociology.; Plan and conduct research to develop and test theories about societal issues such as crime, group relations, poverty, and aging.; Present research findings at professional meetings.; Explain sociological research to the general public.; Develop problem intervention procedures, using techniques such as interviews, consultations, role playing, and participant observation of group interactions.; Consult with and advise individuals such as administrators, social workers, and legislators regarding social issues and policies, as well as the implications of research findings.; Direct work of statistical clerks, statisticians, and others who compile and evaluate research data.; Collaborate with research workers in other disciplines.; Write grants to obtain funding for research projects.; Develop approaches to the solution of groups' problems, based on research findings in sociology and related disciplines.; Observe group interactions and role affiliations to collect data, identify problems, evaluate progress, and determine the need for additional change."
"Sociology Teachers, Postsecondary","Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Evaluate and grade students' class work, assignments, and papers.; Initiate, facilitate, and moderate classroom discussions.; Compile, administer, and grade examinations, or assign this work to others.; Prepare and deliver lectures to undergraduate or graduate students on topics such as race and ethnic relations, measurement and data collection, and workplace social relations.; Prepare course materials, such as syllabi, homework assignments, and handouts.; Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.; Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.; Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.; Maintain student attendance records, grades, and other required records.; Supervise undergraduate or graduate teaching, internship, and research work.; Maintain regularly scheduled office hours to advise and assist students.; Advise students on academic and vocational curricula and on career issues.; Supervise students' laboratory and field work.; Select and obtain materials and supplies, such as textbooks and laboratory equipment.; Collaborate with colleagues to address teaching and research issues.; Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.; Compile bibliographies of specialized materials for outside reading assignments.; Write grant proposals to procure external research funding.; Mentor new faculty.; Participate in student recruitment, registration, and placement activities."
"Software Quality Assurance Analysts and Testers","Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.","Identify, analyze, and document problems with program function, output, online screen, or content.; Document software defects, using a bug tracking system, and report defects to software developers.; Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.; Design test plans, scenarios, scripts, or procedures.; Document test procedures to ensure replicability and compliance with standards.; Provide feedback and recommendations to developers on software usability and functionality.; Install, maintain, or use software testing programs.; Test system modifications to prepare for implementation.; Create or maintain databases of known test defects.; Develop or specify standards, methods, or procedures to determine product quality or release readiness.; Monitor bug resolution efforts and track successes.; Update automated test scripts to ensure currency.; Participate in product design reviews to provide input on functional requirements, product designs, schedules, or potential problems.; Plan test schedules or strategies in accordance with project scope or delivery dates.; Monitor program performance to ensure efficient and problem-free operations.; Conduct software compatibility tests with programs, hardware, operating systems, or network environments.; Investigate customer problems referred by technical support.; Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.; Identify program deviance from standards, and suggest modifications to ensure compliance.; Perform initial debugging procedures by reviewing configuration files, logs, or code pieces to determine breakdown source.; Design or develop automated testing tools.; Install and configure recreations of software production environments to allow testing of software performance.; Collaborate with field staff or customers to evaluate or diagnose problems and recommend possible solutions.; Coordinate user or third-party testing.; Visit beta testing sites to evaluate software performance.; Conduct historical analyses of test results.; Evaluate or recommend software for testing or bug tracking."
"Soil and Plant Scientists","Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity.","Communicate research or project results to other professionals or the public or teach related courses, seminars, or workshops.; Develop methods of conserving or managing soil that can be applied by farmers or forestry companies.; Provide information or recommendations to farmers or other landowners regarding ways in which they can best use land, promote plant growth, or avoid or correct problems such as erosion.; Conduct experiments to develop new or improved varieties of field crops, focusing on characteristics such as yield, quality, disease resistance, nutritional value, or adaptation to specific soils or climates.; Investigate soil problems or poor water quality to determine sources and effects.; Investigate responses of soils to specific management practices to determine the use capabilities of soils and the effects of alternative practices on soil productivity.; Conduct experiments to investigate the underlying mechanisms of plant growth and response to the environment.; Identify degraded or contaminated soils and develop plans to improve their chemical, biological, or physical characteristics.; Develop new or improved methods or products for controlling or eliminating weeds, crop diseases, or insect pests.; Provide advice regarding the development of regulatory standards for land reclamation or soil conservation.; Study soil characteristics to classify soils on the basis of factors such as geographic location, landscape position, or soil properties.; Develop improved measurement techniques, soil conservation methods, soil sampling devices, or related technology.; Conduct research to determine best methods of planting, spraying, cultivating, harvesting, storing, processing, or transporting horticultural products.; Develop environmentally safe methods or products for controlling or eliminating weeds, crop diseases, or pests.; Study ways to improve agricultural sustainability, such as the use of new methods of composting.; Consult with engineers or other technical personnel working on construction projects about the effects of soil problems and possible solutions to these problems.; Perform chemical analyses of the microorganism content of soils to determine microbial reactions or chemical mineralogical relationships to plant growth.; Develop ways of altering soils to suit different types of plants.; Conduct experiments investigating how soil forms, changes, or interacts with land-based ecosystems or living organisms."
"Solar Energy Installation Managers","Direct work crews installing residential or commercial solar photovoltaic or thermal systems.","Plan and coordinate installations of photovoltaic (PV) solar and solar thermal systems to ensure conformance to codes.; Supervise solar installers, technicians, and subcontractors for solar installation projects to ensure compliance with safety standards.; Estimate materials, equipment, and personnel needed for residential or commercial solar installation projects.; Prepare solar installation project proposals, quotes, budgets, or schedules.; Provide technical assistance to installers, technicians, or other solar professionals in areas such as solar electric systems, solar thermal systems, electrical systems, or mechanical systems.; Coordinate or schedule building inspections for solar installation projects.; Perform start-up of systems for testing or customer implementation.; Identify means to reduce costs, minimize risks, or increase efficiency of solar installation projects.; Assess system performance or functionality at the system, subsystem, and component levels.; Assess potential solar installation sites to determine feasibility and design requirements.; Monitor work of contractors and subcontractors to ensure projects conform to plans, specifications, schedules, or budgets.; Visit customer sites to determine solar system needs, requirements, or specifications.; Purchase or rent equipment for solar energy system installation."
"Solar Energy Systems Engineers","Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.","Conduct engineering site audits to collect structural, electrical, and related site information for use in the design of residential or commercial solar power systems.; Create plans for solar energy system development, monitoring, and evaluation activities.; Design or coordinate design of photovoltaic (PV) or solar thermal systems, including system components, for residential and commercial buildings.; Provide technical direction or support to installation teams during installation, start-up, testing, system commissioning, or performance monitoring.; Create electrical single-line diagrams, panel schedules, or connection diagrams for solar electric systems, using computer-aided design (CAD) software.; Perform computer simulation of solar photovoltaic (PV) generation system performance or energy production to optimize efficiency.; Review specifications and recommend engineering or manufacturing changes to achieve solar design objectives.; Develop design specifications and functional requirements for residential, commercial, or industrial solar energy systems or components.; Develop standard operation procedures and quality or safety standards for solar installation work.; Create checklists for review or inspection of completed solar installation projects.; Perform thermal, stress, or cost reduction analyses for solar systems."
"Solar Photovoltaic Installers","Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks.","Install photovoltaic (PV) systems in accordance with codes and standards, using drawings, schematics, and instructions.; Check electrical installation for proper wiring, polarity, grounding, or integrity of terminations.; Identify electrical, environmental, and safety hazards associated with photovoltaic (PV) installations.; Identify installation locations with proper orientation, area, solar access, or structural integrity for photovoltaic (PV) arrays.; Assemble solar modules, panels, or support structures, as specified.; Apply weather sealing to array, building, or support mechanisms.; Install module array interconnect wiring, implementing measures to disable arrays during installation.; Install required labels on solar system components and hardware.; Diagram layouts and locations for photovoltaic (PV) arrays and equipment, including existing building or site features.; Determine materials, equipment, and installation sequences necessary to maximize installation efficiency.; Test operating voltages to ensure operation within acceptable limits for power conditioning equipment, such as inverters and controllers.; Determine appropriate sizes, ratings, and locations for all system overcurrent devices, disconnect devices, grounding equipment, and surge suppression equipment.; Activate photovoltaic (PV) systems to verify system functionality and conformity to performance expectations.; Identify and resolve any deficiencies in photovoltaic (PV) system installation or materials.; Visually inspect and test photovoltaic (PV) modules or systems.; Examine designs to determine current requirements for all parts of the photovoltaic (PV) system electrical circuit.; Demonstrate system functionality and performance, including start-up, shut-down, normal operation, and emergency or bypass operations.; Identify methods for laying out, orienting, and mounting modules or arrays to ensure efficient installation, electrical configuration, or system maintenance.; Measure and analyze system performance and operating parameters to assess operating condition of systems or equipment.; Program, adjust, or configure inverters and controls for desired set points and operating modes.; Determine connection interfaces for additional subpanels or for connecting photovoltaic (PV) systems with utility services or other power generation sources.; Determine photovoltaic (PV) system designs or configurations based on factors such as customer needs, expectations, and site conditions.; Select mechanical designs, installation equipment, or installation plans that conform to environmental, architectural, structural, site, and code requirements.; Perform routine photovoltaic (PV) system maintenance on modules, arrays, batteries, power conditioning equipment, safety systems, structural systems, weather sealing, or balance of systems equipment.; Compile or maintain records of system operation, performance, and maintenance."
"Solar Sales Representatives and Assessors","Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.","Prepare proposals, quotes, contracts, or presentations for potential solar customers.; Select solar energy products, systems, or services for customers based on electrical energy requirements, site conditions, price, or other factors.; Provide customers with information, such as quotes, orders, sales, shipping, warranties, credit, funding options, incentives, or tax rebates.; Gather information from prospective customers to identify their solar energy needs.; Calculate potential solar resources or solar array production for a particular site considering issues such as climate, shading, and roof orientation.; Generate solar energy customer leads to develop new accounts.; Provide technical information about solar power, solar systems, equipment, and services to potential customers or dealers.; Assess sites to determine suitability for solar equipment, using equipment such as tape measures, compasses, and computer software.; Take quote requests or orders from dealers or customers.; Prepare or review detailed design drawings, specifications, or lists related to solar installations.; Create customized energy management packages to satisfy customer needs.; Develop marketing or strategic plans for sales territories.; Demonstrate use of solar and related equipment to customers or dealers."
"Solar Thermal Installers and Technicians","Install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use.","Test operation or functionality of mechanical, plumbing, electrical, and control systems.; Apply weather seal, such as pipe flashings and sealants, to roof penetrations and structural devices.; Install solar collector mounting devices on tile, asphalt, shingle, or built-up gravel roofs, using appropriate materials and penetration methods.; Install copper or plastic plumbing using pipes, fittings, pipe cutters, acetylene torches, solder, wire brushes, sand cloths, flux, plastic pipe cleaners, or plastic glue.; Identify plumbing, electrical, environmental, or safety hazards associated with solar thermal installations.; Demonstrate start-up, shut-down, maintenance, diagnostic, and safety procedures to thermal system owners.; Install circulating pumps using pipe, fittings, soldering equipment, electrical supplies, and hand tools.; Install flat-plat, evacuated glass, or concentrating solar collectors on mounting devices, using brackets or struts.; Install solar thermal system controllers and sensors.; Fill water tanks and check tanks, pipes, and fittings for leaks.; Design active direct or indirect, passive direct or indirect, or pool solar systems.; Determine locations for installing solar subsystem components, including piping, water heaters, valves, and ancillary equipment.; Perform routine maintenance or repairs to restore solar thermal systems to baseline operating conditions.; Install heat exchangers and heat exchanger fluids according to installation manuals and schematics.; Apply operation or identification tags or labels to system components, as required.; Connect water heaters and storage tanks to power and water sources.; Cut, miter, and glue piping insulation to insulate plumbing pipes and fittings.; Install plumbing, such as dip tubes, port fittings, drain tank valves, pressure temperature relief valves, or tanks, according to manufacturer specifications and building codes.; Install monitoring system components, such as flow meters, temperature gauges, and pressure gauges, according to system design and manufacturer specifications.; Assess collector sites to ensure structural integrity of potential mounting surfaces or the best orientation and tilt for solar collectors."
"Sound Engineering Technicians","Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions.","Record speech, music, and other sounds on recording media, using recording equipment.; Confer with producers, performers, and others to determine and achieve the desired sound for a production, such as a musical recording or a film.; Separate instruments, vocals, and other sounds, and combine sounds during the mixing or postproduction stage.; Regulate volume level and sound quality during recording sessions, using control consoles.; Set up, test, and adjust recording equipment for recording sessions and live performances.; Prepare for recording sessions by performing such activities as selecting and setting up microphones.; Keep logs of recordings.; Mix and edit voices, music, and taped sound effects for live performances and for prerecorded events, using sound mixing boards.; Synchronize and equalize prerecorded dialogue, music, and sound effects with visual action of motion pictures or television productions, using control consoles.; Reproduce and duplicate sound recordings from original recording media, using sound editing and duplication equipment.; Report equipment problems and ensure that required repairs are made.; Tear down equipment after event completion.; Convert video and audio recordings into digital formats for editing or archiving."
"Spa Managers","Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.","Respond to customer inquiries or complaints.; Schedule guest appointments.; Maintain client databases.; Coordinate facility schedules to maximize usage and efficiency.; Perform accounting duties, such as recording daily cash flow, preparing bank deposits, or generating financial statements.; Monitor operations to ensure compliance with applicable health, safety, or hygiene standards.; Plan or direct spa services and programs.; Develop or implement marketing strategies.; Sell products, services, or memberships.; Recruit, interview, or hire employees.; Assess employee performance and suggest ways to improve work.; Inventory products and order new supplies.; Establish spa budgets and financial goals.; Inform staff of job responsibilities, performance expectations, client service standards, or corporate policies and guidelines.; Train staff in the use or sale of products, programs, or activities.; Participate in continuing education classes to maintain current knowledge of industry.; Direct facility maintenance or repair.; Verify staff credentials, such as educational and certification requirements.; Schedule staff or supervise scheduling.; Check spa equipment to ensure proper functioning.; Develop staff service or retail goals and guide staff in goal achievement."
